datetime,location,temperature_C,feels_like_C,humidity_%,dew_point_C,pressure_hPa,wind_speed_kmph,wind_direction_deg,cloud_cover_%,uv_index,solar_radiation_Wm2,precipitation_mm,visibility_km,weather_condition,is_daytime,season,holiday_flag
2025-03-01 00:00:00,New Delhi,28.9,29.933461242732665,70,22.9,1007.1,13.7,278,49,4,0.0,0.0,7.5,Cloudy,0,Spring,0
2025-03-01 01:00:00,New Delhi,27.2,28.106909298740824,55,18.2,1015.9,13.1,229,8,4,0.0,0.0,9.6,Thunderstorm,0,Spring,0
2025-03-01 02:00:00,New Delhi,30.2,31.295336224884128,69,24.0,1019.0,18.3,173,25,3,0.0,0.0,8.8,Fog,0,Spring,0
2025-03-01 03:00:00,New Delhi,24.4,25.846615822941928,69,18.2,1013.6,14.1,266,38,3,0.0,0.0,8.1,Fog,0,Spring,0
2025-03-01 04:00:00,New Delhi,27.0,28.16238200306813,86,24.2,1001.9,20.8,93,18,2,0.0,0.0,9.1,Sunny,0,Spring,0
2025-03-01 05:00:00,New Delhi,34.9,35.48130791056235,50,24.9,1010.8,13.2,33,80,5,0.0,0.0,6.0,Fog,0,Spring,0
2025-03-01 06:00:00,New Delhi,31.0,31.14627608228775,81,27.2,1008.2,19.9,142,62,9,822.4,0.0,6.9,Thunderstorm,1,Spring,0
2025-03-01 07:00:00,New Delhi,24.5,26.17750382073341,82,20.9,1011.8,1.4,61,48,0,547.1,0.0,7.6,Fog,1,Spring,0
2025-03-01 08:00:00,New Delhi,34.9,36.16266014087043,60,26.9,1011.4,20.1,221,23,1,522.0,0.0,8.8,Cloudy,1,Spring,0
2025-03-01 09:00:00,New Delhi,21.4,21.90551366029083,56,12.6,1016.2,18.7,205,61,4,398.7,0.0,7.0,Clear,1,Spring,0
2025-03-01 10:00:00,New Delhi,33.0,33.131183916046766,69,26.8,1008.8,14.7,100,49,7,350.6,0.0,7.5,Clear,1,Spring,0
2025-03-01 11:00:00,New Delhi,27.3,28.342802766915714,48,16.9,1018.2,14.9,177,8,9,648.5,0.0,9.6,Thunderstorm,1,Spring,0
2025-03-01 12:00:00,New Delhi,25.7,26.959584710192004,53,16.3,1004.3,18.9,329,63,7,367.4,0.0,6.8,Cloudy,1,Spring,0
2025-03-01 13:00:00,New Delhi,26.6,26.93964966849797,45,15.6,1006.8,11.9,51,77,2,361.8,0.0,6.2,Fog,1,Spring,0
2025-03-01 14:00:00,New Delhi,23.6,23.55366745140761,91,21.8,1012.0,22.8,275,68,10,522.9,0.0,6.6,Clear,1,Spring,0
2025-03-01 15:00:00,New Delhi,29.2,29.81671717751238,73,23.8,1008.7,21.2,145,20,2,517.2,0.0,9.0,Cloudy,1,Spring,0
2025-03-01 16:00:00,New Delhi,28.8,29.433129384085415,77,24.2,1004.5,15.9,351,7,2,700.4,0.0,9.7,Fog,1,Spring,0
2025-03-01 17:00:00,New Delhi,32.4,33.54038642999811,34,19.2,1012.8,17.4,20,24,0,217.6,0.0,8.8,Sunny,1,Spring,0
2025-03-01 18:00:00,New Delhi,28.2,29.55048837833089,32,14.6,1014.1,19.7,168,27,2,546.1,0.0,8.7,Thunderstorm,1,Spring,0
2025-03-01 19:00:00,New Delhi,22.0,23.139326011484577,51,12.2,1005.3,14.7,156,59,1,0.0,0.0,7.0,Rain,0,Spring,0
2025-03-01 20:00:00,New Delhi,28.2,29.403872692401844,64,21.0,1003.9,17.8,38,76,5,0.0,0.0,6.2,Thunderstorm,0,Spring,0
2025-03-01 21:00:00,New Delhi,21.8,22.917850348836787,66,15.0,1003.1,13.6,285,0,2,0.0,0.0,10.0,Thunderstorm,0,Spring,0
2025-03-01 22:00:00,New Delhi,23.5,24.008784112662536,50,13.5,1010.7,13.1,251,41,10,0.0,0.0,8.0,Cloudy,0,Spring,0
2025-03-01 23:00:00,New Delhi,23.3,23.783452020048284,60,15.3,1003.7,18.3,246,66,11,0.0,0.0,6.7,Clear,0,Spring,0
2025-03-02 00:00:00,New Delhi,23.9,25.416780360080068,35,10.9,1008.6,17.0,140,55,2,0.0,0.0,7.2,Thunderstorm,0,Spring,1
2025-03-02 01:00:00,New Delhi,28.6,29.331174241322113,50,18.6,1009.8,13.6,191,20,1,0.0,0.0,9.0,Rain,0,Spring,1
2025-03-02 02:00:00,New Delhi,32.4,33.819490071387655,85,29.4,1014.3,11.2,33,33,3,0.0,0.0,8.3,Fog,0,Spring,1
2025-03-02 03:00:00,New Delhi,27.0,27.585748075884073,60,19.0,1015.2,14.1,88,45,1,0.0,0.0,7.8,Thunderstorm,0,Spring,1
2025-03-02 04:00:00,New Delhi,28.6,29.63738481274471,73,23.2,1012.3,8.8,87,83,9,0.0,0.0,5.8,Clear,0,Spring,1
2025-03-02 05:00:00,New Delhi,20.2,21.448618553532224,51,10.4,1012.6,12.5,33,70,4,0.0,0.0,6.5,Sunny,0,Spring,1
2025-03-02 06:00:00,New Delhi,27.1,27.5069667205353,67,20.5,1006.3,3.2,72,62,9,144.4,0.0,6.9,Rain,1,Spring,1
2025-03-02 07:00:00,New Delhi,21.9,22.850975060951182,65,14.9,1012.9,14.6,299,28,3,479.7,0.0,8.6,Cloudy,1,Spring,1
2025-03-02 08:00:00,New Delhi,36.6,37.98736113236164,43,25.2,1013.9,20.5,358,30,8,511.0,0.0,8.5,Sunny,1,Spring,1
2025-03-02 09:00:00,New Delhi,27.8,28.882937546820287,56,19.0,1001.1,18.1,243,19,3,454.1,0.0,9.1,Rain,1,Spring,1
2025-03-02 10:00:00,New Delhi,32.6,33.92146224934851,53,23.2,1015.6,10.9,92,28,11,449.8,0.0,8.6,Fog,1,Spring,1
2025-03-02 11:00:00,New Delhi,30.4,31.770157993735992,42,18.8,1003.5,11.8,69,92,9,494.9,0.0,5.4,Rain,1,Spring,1
